u,v,key,osmid,oneway,name,highway,length,geometry,ref,lanes,bridge,tunnel,maxspeed,access
1584894930,1574729706,0,145024314,False,천마로,secondary,118.226,"LINESTRING (129.3969283 36.0795706, 129.3969486 36.0785075)",,,,,,
1584894930,4634113406,0,145024314,False,천마로,secondary,11.188,"LINESTRING (129.3969283 36.0795706, 129.3969264 36.0796712)",,,,,,
1584894931,1584894930,0,145023985,False,,residential,68.553,"LINESTRING (129.3976894 36.079612, 129.3969283 36.0795706)",,,,,,
1584894931,1584894917,0,145024006,False,장량로158번길,residential,62.113,"LINESTRING (129.3976894 36.079612, 129.3977019 36.0790535)",,,,,,
1584894931,1584894953,0,145024006,False,장량로158번길,residential,120.377,"LINESTRING (129.3976894 36.079612, 129.3976651 36.0806944)",,,,,,
1584894932,1584894933,0,145023977,False,,residential,68.822,"LINESTRING (129.401239 36.0795867, 129.4020048 36.0795901)",,,,,,
1584894932,1584894924,0,470626817,False,장량로190번길,residential,53.402,"LINESTRING (129.401239 36.0795867, 129.4012584 36.0791067)",,,,,,
1584894932,1584894966,0,470626817,False,장량로190번길,residential,130.68,"LINESTRING (129.401239 36.0795867, 129.401217 36.0807618)",,,,,,
1584894933,1584894932,0,145023977,False,,residential,68.822,"LINESTRING (129.4020048 36.0795901, 129.401239 36.0795867)",,,,,,
1584894933,4634147410,0,145023989,False,양덕로,tertiary,72.57,"LINESTRING (129.4020048 36.0795901, 129.4019963 36.0802427)",,,,,,
1584894933,1584894925,0,145023989,False,양덕로,tertiary,46.527,"LINESTRING (129.4020048 36.0795901, 129.4020175 36.0791718)",,,,,,
1584894935,1584894937,0,145023973,False,양덕로6번길,residential,50.502,"LINESTRING (129.4071491 36.0798805, 129.4076903 36.0800028)",,,,,,
1584894935,4634147413,0,145023973,False,양덕로6번길,residential,52.158,"LINESTRING (129.4071491 36.0798805, 129.4066037 36.0797201)",,,,,,
1584894935,5350287125,0,554382220,False,,residential,169.646,"LINESTRING (129.4071491 36.0798805, 129.4067236 36.0813669)",,,,,,
1584894937,1584894941,0,145023973,False,양덕로6번길,residential,48.993,"LINESTRING (129.4076903 36.0800028, 129.4082078 36.0801414)",,,,,,
1584894937,1584894935,0,145023973,False,양덕로6번길,residential,50.502,"LINESTRING (129.4076903 36.0800028, 129.4071491 36.0798805)",,,,,,
1584894937,1584894995,0,145024015,False,장량로242번길,residential,167.779,"LINESTRING (129.4076903 36.0800028, 129.4072305 36.0814652)",,,,,,
1584894937,1584894929,0,145024015,False,장량로242번길,residential,56.997,"LINESTRING (129.4076903 36.0800028, 129.4078465 36.079506)",,,,,,
1584894939,1584894929,0,143914408,False,양덕남로,tertiary,191.502,"LINESTRING (129.4098733 36.0800378, 129.4078465 36.079506)",,,,,,
1584894939,1584894950,0,145023996,False,장량로262번길,residential,58.124,"LINESTRING (129.4098733 36.0800378, 129.409704 36.0805423)",,,,,,
1584894939,1584894948,0,143914408,False,양덕남로,tertiary,130.80100000000002,"LINESTRING (129.4098733 36.0800378, 129.4107621 36.0802464, 129.4112572 36.0803992)",,,,,,
1584894941,1584894942,0,145023973,False,양덕로6번길,residential,46.582,"LINESTRING (129.4082078 36.0801414, 129.4086982 36.0802771)",,,,,,
